Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality,Functionality Sub-Category,Main problem solved,Primary User Segment,Maturity Entry Level,Regions Served,AI Powered,AI Platform Type,Hosting Location,Pricing Model,Demo / Proof of Concept Available,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages Supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Relativity,"Relativity helps organizations organize data, discover truth, and act on it, offering solutions for e-discovery, contract review, and more, backed by generative AI.",RelativityOne,"RelativityOne is a cloud-based e-discovery platform that offers solutions for legal data challenges, including AI-powered document review and data management.","Litigation, Disputes & Investigations","e-Discovery,Contract Review,Data Breach Response","Organizes legal data, reduces risk, and enhances efficiency in e-discovery and contract review processes.",Corporate legal; Private practice; Litigation / Disputes Teams,Enterprise-grade,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Large Language Model (LLM) Platforms; Natural Language Processing (NLP) / Text Analytics; Conversational / Copilot Layer,Multi-Region / Distributed Cloud,,,Market Leader / Standard,,Cloud (SaaS),Corporate,Multilingual (supports major global languages),"Chicago, IL, USA",,,,"FedRAMP,Authorization (US)",,"""It's the best Review platform and analytics tool that I have used, with full customization capabilities. Love it.""",,https://www.relativity.com,"1-312-263-1177, 231 South LaSalle St. 20th Floor Chicago, IL 60604"
Reveal,"Reveal is a leader in AI-powered eDiscovery and investigations, offering comprehensive solutions for legal and compliance challenges.",Reveal,"Comprehensive AI-powered eDiscovery software for legal departments of any size, offering advanced analytics and streamlined legal holds.","Litigation, Disputes & Investigations","eDiscovery,Legal Holds,Subpoena Response,Early Case Assessment","Simplifies complex data challenges, streamlines legal holds, and reduces costs in eDiscovery and investigations.",Corporate legal; Private practice; Alternative Legal Service Providers (ALSPs); Government / Public Sector,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms; Predictive / Machine Learning (ML) Platforms; Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),,Market Leader / Standard,,Cloud (SaaS),Corporate,,,,,,,,,,https://www.revealdata.com,"Get in touch with us for general inquiries, sales, etc."
Secured Signing,"Secured Signing is a trusted, all-in-one platform for legally-binding Digital Signatures and Remote Online Notarization (RON).",Secured Signing,"A platform for digital signatures and remote online notarization, ensuring secure and legally-binding document workflows.",Contracting & Document Automation,Digital Signatures and Remote Online Notarization,"Streamlines document signing processes and ensures compliance with secure, tamper-proof digital signatures.",Corporate legal; Government / Public Sector,,,No,,,Usage-Based / Consumption,,Growing Adoption,Easy,Cloud (SaaS),Other / Not Specified,,,,,ISO 27001,SOC 2 (Type I or II),,Rated 4.7 out of 5 by our customers,4.7,https://www.securedsigning.com,
SimpleLegal,"SimpleLegal provides an intelligent legal operations solution to manage matters, spend, vendors, documents, and reporting.",SimpleLegal,"SimpleLegal offers a comprehensive legal operations platform with features like e-Billing, matter management, vendor management, and reporting & analytics.",Legal Operations & Analytics,"e-Billing,Matter Management,Vendor Management,Reporting & Analytics","Simplifies legal operations by providing a centralized platform for managing legal matters, spend, and vendor relationships.",Corporate legal; Legal Operations Professionals,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,,,,https://www.simplelegal.com,
Sky Discovery,"Sky Discovery provides eDiscovery solutions with a focus on enhancing Relativity One and Relativity Server, offering custom solutions and AI capabilities to support legal professionals.",Relativity Solutions,Custom solutions designed to enhance Relativity One and Relativity Server with AI capabilities for eDiscovery processes.,"Litigation, Disputes & Investigations",eDiscovery and data management solutions,"Enhancing eDiscovery processes with AI to manage data collection, analysis, and review.",Litigation / Disputes Teams,Advanced,Australia; United Kingdom,Yes,Natural Language Processing (NLP) / Text Analytics; Computer Vision & Document Recognition,,,,,,Cloud (SaaS),Corporate,Multilingual (supports major global languages),Australia,,,ISO 27001,,,,,https://www.skydiscovery.com.au,
Smarter Drafter,"Smarter Drafter is a complete document automation platform for law firms, providing solutions from instruction to eSignature, and integrating with existing practice management systems.",Smarter Drafter,"A document automation platform for law firms, enabling the creation of client-facing, courtroom-ready documents with integrated eSignature capabilities.",Contracting & Document Automation,Document assembly and eSignature integration,Reduces time and risk in drafting complex legal documents by automating document assembly and integrating with practice management systems.,Corporate legal; Private practice,Advanced,Australia; United Kingdom,Yes,Natural Language Processing (NLP) / Text Analytics,Australia,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,Australia,,,ISO 27001,,,,,https://smarterdrafter.com.au,Contact Sales and Support via website
Thomson Reuters,,HighQ,"Effortless collaboration tools for legal professionals. Transform the way you work with a secure, cloud-based solution that streamlines processes, boosts productivity, and enhances service delivery.","Matter, Workflow & Intake Management",,"Streamlines processes, boosts productivity, and enhances service delivery for legal professionals.",Corporate legal; Private practice; Government / Public Sector,Enterprise-grade,,Yes,Natural Language Processing (NLP) / Text Analytics,,Subscription (SaaS),Demo Available,Growing Adoption,Moderate,Cloud (SaaS),Corporate,,,,,,,,,,https://legal.thomsonreuters.com/en/products/highq,800-950-1215
Vendor Name,Vendor Overview,Product Name,Product Description,Legal Functionality – Main Category,Legal Functionality – Sub-Category,Main Problem Solved,Primary User Segment,AI Maturity Stage,Regions Served,AI Powered,AI Platform,Hosting Location / Data Residence,Pricing Model,,Adoption Level,Ease of Purchase,Deployment Model,Industry Focus,Languages supported,HQ,Office Locations,Hosting Provider,ISO Certifications,Security & Compliance Certifications,Approx. Price Range (AUD),Customer Reviews,Customer Feedback Rating,Vendor Website,Vendor Contact Details
Whispli,"Whispli is a leading whistleblowing and case management platform designed to help organizations engage anonymously with employees for compliance, HR, or culture purposes.",Whispli,"Whispli is a whistleblowing and case management platform that provides secure, anonymous communication channels for reporting misconduct and ensuring compliance with legal regulations.","Compliance, Risk & Governance",Whistleblowing Management,Facilitates anonymous reporting of misconduct and ensures compliance with whistleblowing laws.,Compliance & Risk Teams; Human Resources,Advanced,North America (US & Canada); Europe (UK & EU); Asia-Pacific (APAC),Yes,Natural Language Processing (NLP) / Text Analytics,Multi-Region / Distributed Cloud,Subscription (SaaS),Demo Available,Growing Adoption,Easy,Cloud (SaaS),Corporate,Multilingual (supports major global languages),,"United States, Australia, France",Other,ISO 27001,SOC 2 (Type I or II),,"Positive reviews highlighting ease of use, security, and customer support.",,https://www.whispli.com,
Xakia,"Xakia provides a comprehensive legal toolkit designed to simplify legal operations for in-house legal teams, offering features such as matter management, document management, intake and triage, contract management, spend management, and data analytics.",Xakia,"Xakia is a legal management software that offers matter management, document management, intake and triage, contract management, spend management, and data analytics to streamline legal operations for in-house legal teams.","Matter, Workflow & Intake Management","Document Management,Contract Management,Spend Management,Data & Analytics","Simplifies and centralizes legal operations, providing insights and efficiency for in-house legal teams.",Corporate legal,,,No,,,Subscription (SaaS),,Growing Adoption,Easy,Cloud (SaaS),Corporate,English only,,,,,,,Positive feedback from legal professionals highlighting time savings and improved efficiency.,,https://www.xakiatech.com,
273 Ventures,"273 Ventures is a company with over three decades of experience in the legal technology industry, offering services such as strategy, training, technology selection, recruiting, and AI solution development.",Kelvin Legal Data OS KL3M,"KL3M is the first Legal Large Language Model trained from scratch on clean, legally-permissible data for enterprise use.",AI Legal Assistants & Productivity Tools,,"Provides a legal large language model trained on clean, legally-permissible data for enterprise use.",Corporate legal; Private practice; Legal Operations Professionals,Enterprise-grade,,Yes,Large Language Model (LLM) Platforms,,,,,,,Corporate,,,,,,,,,,https://273ventures.com,HELLO@273VENTURES.COM
Abstract,"Abstract proactively identifies, analyzes and reports how changing regulatory policy impacts organizations using AI-enabled tools.",Abstract,"AI-enabled tools for identifying, analyzing, and reporting on regulatory policy changes.","Compliance, Risk & Governance",,Helps organizations understand the impact of changing regulatory policies.,,,,Yes,,,,,,,,Other / Not Specified,,,,,,,,,,https://www.abstract.us,
Ace4 AI,"Ace4 AI provides AI-powered solutions for legal teams, focusing on document intelligence and automation to enhance efficiency and deliver actionable insights.",Ace4 AI,"AI-powered tools for legal teams to automate document review, gain real-time insights, and enhance collaboration.",Contracting & Document Automation,"Document review,summarization,and conversion","Automates document review and analysis, providing real-time insights and enhancing collaboration.",Corporate legal,Advanced,,Yes,Natural Language Processing (NLP) / Text Analytics; Generative AI,,Usage-Based / Consumption,Yes,,,Cloud (SaaS),Corporate,English only,,,,,,,,,https://ace4.ai,
